adsh,cik,countryinc,filed,form,fy,name,period,Assets,EarningsPerShareBasic,Liabilities,NetIncomeLoss,StockholdersEquity,WeightedAverageNumberOfSharesOutstandingBasic,ticker,sector,stock_price,next_period,next_period_price
0000732717-09-000050,732717,US,2009-08-05,10-Q,2009.0,AT&T INC.,2009-06-30,267918000000.0,0.54,,3198000000.0,,,T,PUBLIC UTILITIES,24.84,2009-09-30,27.01
0000950123-09-027630,54480,US,2009-07-30,10-Q,2009.0,KANSAS CITY SOUTHERN,2009-06-30,5366500000.0,0.07,3112700000.0,6800000.0,1970100000.0,91955000.0,KSU,TRANSPORTATION,16.11,2009-09-30,26.49
0000950123-09-029672,200406,US,2009-08-04,10-Q,2009.0,JOHNSON & JOHNSON,2009-06-30,87438000000.0,1.16,41191000000.0,,,2756200000.0,JNJ,HEALTH CARE,56.8,2009-09-30,60.89
0000950123-09-029713,1163165,US,2009-08-04,10-Q,2009.0,CONOCOPHILLIPS,2009-06-30,150073000000.0,0.87,90066000000.0,1298000000.0,58929000000.0,1486496.0,COP,ENERGY,32.063,2009-09-30,34.426
0000950123-09-032832,19617,US,2009-08-10,10-Q,2009.0,J P MORGAN CHASE & CO,2009-06-30,2026642000000.0,0.28,1871876000000.0,2721000000.0,154766000000.0,3811500000.0,JPM,FINANCE,34.11,2009-09-30,43.82
0001047469-09-007107,1324404,US,2009-08-03,10-Q,2009.0,"CF INDUSTRIES HOLDINGS, INC.",2009-06-30,2279400000.0,4.4,,213000000.0,1618300000.0,48400000.0,CF,BASIC INDUSTRIES,14.828,2009-09-30,17.246
0001047469-09-007340,827052,US,2009-08-07,10-Q,2009.0,EDISON INTERNATIONAL,2009-06-30,41881000000.0,-0.05,31109000000.0,-16000000.0,,326000000.0,EIX,PUBLIC UTILITIES,31.46,2009-09-30,33.58
0001104659-09-046716,765880,US,2009-08-04,10-Q,2009.0,"HCP, INC.",2009-06-30,11785850000.0,0.35,5994425000.0,,5611396000.0,265422000.0,HCP,CONSUMER SERVICES,19.299,2009-09-30,26.175
0001104659-09-047410,1126328,US,2009-08-05,10-Q,2009.0,PRINCIPAL FINANCIAL GROUP INC,2009-06-30,130706600000.0,0.52,124930100000.0,158600000.0,5695200000.0,,PFG,FINANCE,18.84,2009-09-30,27.39
0001104659-09-048013,1800,US,2009-08-07,10-Q,2009.0,ABBOTT LABORATORIES,2009-06-30,47630017000.0,0.83,,,19879112000.0,1545643000.0,ABT,HEALTH CARE,22.57,2009-09-30,23.736
0001104659-09-048135,1168054,US,2009-08-07,10-Q,2009.0,CIMAREX ENERGY CO,2009-06-30,3402804000.0,,,,,,XEC,ENERGY,28.34,2009-09-30,43.32
0001140361-09-017252,1357615,US,2009-07-30,10-Q,2009.0,"KBR, INC.",2009-06-30,5647000000.0,,3447000000.0,,,160000000.0,KBR,BASIC INDUSTRIES,18.44,2009-09-30,23.29
0001157523-09-005715,1043219,US,2009-08-06,10-Q,2009.0,ANNALY CAPITAL MANAGEMENT INC,2009-06-30,68267255000.0,1.09,59536463000.0,597054000.0,8667674000.0,544344844.0,NLY,CONSUMER SERVICES,15.14,2009-09-30,18.14
0001193125-09-156564,1339947,US,2009-07-28,10-Q,2009.0,VIACOM INC.,2009-06-30,21395000000.0,0.46,,277000000.0,7495000000.0,607000000.0,VIA,CONSUMER SERVICES,23.98,2009-09-30,29.45
0001193125-09-156720,1070750,US,2009-07-28,10-Q,2009.0,"HOST HOTELS & RESORTS, INC.",2009-06-30,12472000000.0,-0.12,6350000000.0,-68000000.0,5984000000.0,,HST,CONSUMER SERVICES,8.213,2009-09-30,11.522
0001193125-09-156904,896262,US,2009-07-28,10-Q,2009.0,AMEDISYS INC,2009-06-30,1083398000.0,1.29,440556000.0,35083000.0,641969000.0,27124000.0,AMED,HEALTH CARE,33.02,2009-09-30,43.63
0001193125-09-159678,1403161,US,2009-07-30,10-Q,2009.0,VISA INC.,2009-06-30,32624000000.0,,9825000000.0,729000000.0,22794000000.0,,V,MISCELLANEOUS,15.565,2009-09-30,17.278
0001193125-09-160870,1276520,US,2009-07-31,10-Q,2009.0,GENWORTH FINANCIAL INC,2009-06-30,104826000000.0,-0.11,94856000000.0,-50000000.0,9970000000.0,433200000.0,GNW,FINANCE,6.99,2009-09-30,11.95
0001193125-09-165373,5513,US,2009-08-05,10-Q,2009.0,UNUM GROUP,2009-06-30,51339800000.0,0.81,43861400000.0,267200000.0,7478400000.0,,UNM,FINANCE,15.86,2009-09-30,21.44
0001193125-09-167271,906107,US,2009-08-06,10-Q,2009.0,EQUITY RESIDENTIAL,2009-06-30,15923062000.0,0.35,10658360000.0,100205000.0,4928979000.0,272901000.0,EQR,CONSUMER SERVICES,22.23,2009-09-30,30.7
0001193125-09-170393,1378946,US,2009-08-10,10-Q,2009.0,"PEOPLE'S UNITED FINANCIAL, INC.",2009-06-30,20811500000.0,0.08,15674900000.0,27400000.0,5136600000.0,,PBCT,FINANCE,15.07,2009-09-30,15.56
0001193125-09-170697,35527,US,2009-08-10,10-Q,2009.0,FIFTH THIRD BANCORP,2009-06-30,115984000000.0,1.35,102284000000.0,882000000.0,13700000000.0,,FITB,FINANCE,7.1,2009-09-30,10.13
0001193125-09-170759,712515,US,2009-08-10,10-Q,2009.0,ELECTRONIC ARTS INC.,2009-06-30,4722000000.0,,1721000000.0,-234000000.0,3001000000.0,,EA,TECHNOLOGY,21.72,2009-09-30,19.05
0001274494-09-000019,1274494,US,2009-08-03,10-Q,2009.0,"FIRST SOLAR, INC.",2009-06-30,2910179000.0,2.16,625288000.0,180579000.0,2284891000.0,83723000.0,FSLR,TECHNOLOGY,162.2,2009-09-30,152.86
0000732717-09-000091,732717,US,2009-11-05,10-Q,2009.0,AT&T INC.,2009-09-30,266568000000.0,0.54,,3192000000.0,,,T,PUBLIC UTILITIES,27.01,2009-12-31,28.03
0000899689-09-000040,899689,US,2009-11-03,10-Q,2009.0,VORNADO REALTY TRUST,2009-09-30,22350373000.0,0.7,14169700000.0,140617000.0,6561762000.0,,VNO,CONSUMER SERVICES,47.123,2009-12-31,51.169
0000950123-09-054928,54480,US,2009-10-29,10-Q,2009.0,KANSAS CITY SOUTHERN,2009-09-30,5406300000.0,0.27,3102200000.0,28600000.0,2020000000.0,94683000.0,KSU,TRANSPORTATION,26.49,2009-12-31,33.29
0000950123-09-056216,1013871,US,2009-11-02,10-Q,2009.0,"NRG ENERGY, INC.",2009-09-30,25954000000.0,1.09,17875000000.0,278000000.0,,249000000.0,NRG,PUBLIC UTILITIES,28.19,2009-12-31,23.61
0000950123-09-056991,1163165,US,2009-11-03,10-Q,2009.0,CONOCOPHILLIPS,2009-09-30,152427000000.0,1.0,90330000000.0,1503000000.0,61510000000.0,1488352000.0,COP,ENERGY,34.426,2009-12-31,38.932
0000950123-09-057624,200406,US,2009-11-04,10-Q,2009.0,JOHNSON & JOHNSON,2009-09-30,91558000000.0,1.21,41174000000.0,,,2756300000.0,JNJ,HEALTH CARE,60.89,2009-12-31,64.41
0000950123-09-060099,19617,US,2009-11-09,10-Q,2009.0,J P MORGAN CHASE & CO,2009-09-30,2041009000000.0,0.82,1878756000000.0,3588000000.0,162253000000.0,3937900000.0,JPM,FINANCE,43.82,2009-12-31,41.67
0001014739-09-000045,1014739,US,2009-11-02,10-Q,2009.0,"BIOSCRIP, INC.",2009-09-30,240180000.0,0.15,127479000.0,5747000.0,112701000.0,38961000.0,BIOS,HEALTH CARE,6.76,2009-12-31,8.36
