adsh,cik,name,ticker,sector,period,stock_price,next_period,next_period_price,beta,assets,earnings_per_share_basic,liabilities,net_income_loss,stockholders_equity,weighted_shares_outstanding_basic
0000732717-09-000050,732717,AT&T INC.,T,PUBLIC UTILITIES,2009-06-30,24.84,2009-09-30,27.01,0.5329001506225972,267918000000.0,0.54,,3198000000.0,,
0000950123-09-027630,54480,KANSAS CITY SOUTHERN,KSU,TRANSPORTATION,2009-06-30,16.11,2009-09-30,26.49,1.9094817905685415,5366500000.0,0.07,3112700000.0,6800000.0,1970100000.0,91955000.0
0000950123-09-029672,200406,JOHNSON & JOHNSON,JNJ,HEALTH CARE,2009-06-30,56.8,2009-09-30,60.89,0.28673620247889275,87438000000.0,1.16,41191000000.0,,,2756200000.0
0000950123-09-029713,1163165,CONOCOPHILLIPS,COP,ENERGY,2009-06-30,32.063,2009-09-30,34.426,1.2301698219054709,150073000000.0,0.87,90066000000.0,1298000000.0,58929000000.0,1486496.0
0000950123-09-032832,19617,J P MORGAN CHASE & CO,JPM,FINANCE,2009-06-30,34.11,2009-09-30,43.82,2.432341101001668,2026642000000.0,0.28,1871876000000.0,2721000000.0,154766000000.0,3811500000.0
0001047469-09-007107,1324404,"CF INDUSTRIES HOLDINGS, INC.",CF,BASIC INDUSTRIES,2009-06-30,14.828,2009-09-30,17.246,0.8503906007450535,2279400000.0,4.4,,213000000.0,1618300000.0,48400000.0
0001047469-09-007340,827052,EDISON INTERNATIONAL,EIX,PUBLIC UTILITIES,2009-06-30,31.46,2009-09-30,33.58,0.525252100837305,41881000000.0,-0.05,31109000000.0,-16000000.0,,326000000.0
0001104659-09-046716,765880,"HCP, INC.",HCP,CONSUMER SERVICES,2009-06-30,19.299,2009-09-30,26.175,2.6382819986225905,11785850000.0,0.35,5994425000.0,,5611396000.0,265422000.0
0001104659-09-047410,1126328,PRINCIPAL FINANCIAL GROUP INC,PFG,FINANCE,2009-06-30,18.84,2009-09-30,27.39,3.201853058303342,130706600000.0,0.52,124930100000.0,158600000.0,5695200000.0,
0001104659-09-048013,1800,ABBOTT LABORATORIES,ABT,HEALTH CARE,2009-06-30,22.57,2009-09-30,23.736,0.14377210106504926,47630017000.0,0.83,,,19879112000.0,1545643000.0
0001104659-09-048135,1168054,CIMAREX ENERGY CO,XEC,ENERGY,2009-06-30,28.34,2009-09-30,43.32,1.7275000908718092,3402804000.0,,,,,
0001140361-09-017252,1357615,"KBR, INC.",KBR,BASIC INDUSTRIES,2009-06-30,18.44,2009-09-30,23.29,1.5044224881896735,5647000000.0,,3447000000.0,,,160000000.0
0001157523-09-005715,1043219,ANNALY CAPITAL MANAGEMENT INC,NLY,CONSUMER SERVICES,2009-06-30,15.14,2009-09-30,18.14,1.093157295634224,68267255000.0,1.09,59536463000.0,597054000.0,8667674000.0,544344844.0
0001193125-09-156564,1339947,VIACOM INC.,VIA,CONSUMER SERVICES,2009-06-30,23.98,2009-09-30,29.45,1.3635928905911965,21395000000.0,0.46,,277000000.0,7495000000.0,607000000.0
0001193125-09-156720,1070750,"HOST HOTELS & RESORTS, INC.",HST,CONSUMER SERVICES,2009-06-30,8.213,2009-09-30,11.522,3.6399640420536934,12472000000.0,-0.12,6350000000.0,-68000000.0,5984000000.0,
0001193125-09-156904,896262,AMEDISYS INC,AMED,HEALTH CARE,2009-06-30,33.02,2009-09-30,43.63,1.0276295645541031,1083398000.0,1.29,440556000.0,35083000.0,641969000.0,27124000.0
0001193125-09-159678,1403161,VISA INC.,V,MISCELLANEOUS,2009-06-30,15.565,2009-09-30,17.278,0.8378219498938281,32624000000.0,,9825000000.0,729000000.0,22794000000.0,
0001193125-09-160870,1276520,GENWORTH FINANCIAL INC,GNW,FINANCE,2009-06-30,6.99,2009-09-30,11.95,3.422718643705662,104826000000.0,-0.11,94856000000.0,-50000000.0,9970000000.0,433200000.0
0001193125-09-165373,5513,UNUM GROUP,UNM,FINANCE,2009-06-30,15.86,2009-09-30,21.44,2.1022506583338303,51339800000.0,0.81,43861400000.0,267200000.0,7478400000.0,
0001193125-09-167271,906107,EQUITY RESIDENTIAL,EQR,CONSUMER SERVICES,2009-06-30,22.23,2009-09-30,30.7,3.0649892104618126,15923062000.0,0.35,10658360000.0,100205000.0,4928979000.0,272901000.0
0001193125-09-170393,1378946,"PEOPLE'S UNITED FINANCIAL, INC.",PBCT,FINANCE,2009-06-30,15.07,2009-09-30,15.56,0.7622490283885209,20811500000.0,0.08,15674900000.0,27400000.0,5136600000.0,
0001193125-09-170697,35527,FIFTH THIRD BANCORP,FITB,FINANCE,2009-06-30,7.1,2009-09-30,10.13,4.850732629448159,115984000000.0,1.35,102284000000.0,882000000.0,13700000000.0,
